DEPARTAMENTO ,MUNICIPIOS ,"","",04- ABRIL ,TOTAL ABRIL ,"",05- MAYO ,TOTAL MAYO ,"",06-JUNIO ,TOTAL JUNIO , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,"",1° ,2° ,"",GENERAL 
CALAMUCHITA,"","","","","","","","","","","",""
"",LA CAUTIVA ,1 01.779 ,193.569 ,295.348 ,130.594 ,219.579 ,350.174 ,130.164 ,225.975 ,356.140 ,1.001.661
"",LAS ACEQUIAS ,137.835 ,262.141 ,399.976 ,176.858 ,297.366 ,474.224 ,176.276 ,306.028 ,482.303 ,1.356.502
"",LAS HIGUERAS ,2 35.563 ,448.007 ,683.570 ,302.254 ,508.207 ,810.461 ,301.260 ,523.010 ,824.270 ,2.318.301
"",LAS VERTIENTES ,101.572 ,193.175 ,294.748 ,130.329 ,219.133 ,349.462 ,129.900 ,225.516 ,355.416 ,999.625
"",MONTE DE LOS GAUCHOS ,9 ,9.382 189.009 ,288.391 ,127.518 ,214.407 ,341.925 ,127.098 ,220.652 ,347.751 ,978.067
"",RIO CUARTO ,4.158.906 ,7.909.635 ,12.068.541 ,5.336.354 ,8.972.479 ,14.308.833 ,5.318.796 ,9.233.825 ,14.552.622 ,40.929.996
"",SAMPACHO ,2 82.701 ,537.656 ,820.357 ,362.738 ,609.903 ,972.641 ,361.544 ,627.668 ,989.212 ,2.782.210
"",SAN BASILIO ,1 65.257 ,314.294 ,479.550 ,212.043 ,356.527 ,568.570 ,211.345 ,366.911 ,578.257 ,1.626.377
"",SANTA CATALINA ,1 78.142 ,338.801 ,516.944 ,228.577 ,384.327 ,612.904 ,227.825 ,395.521 ,623.347 ,1.753.194
"",TOSQUITA ,9 ,2.191 175.334 ,267.526 ,118.292 ,198.895 ,317.187 ,117.903 ,204.688 ,322.591 ,907.303
"",VICUÑA MACKENNA ,3 46.797 ,659.558 ,1.006.355 ,4 44.981 ,748.185 ,1.193.165 ,4 43.516 ,769.979 ,1.213.495 ,3.413.015
Total RIO CUARTO ,"",7 .703.428 ,14.650.798 ,22.354.226 ,9.884.382 ,16.619.475 ,26.503.858 ,9.851.860 ,17.103.561 ,26.955.421 ,75.813.505
RIO PRIMERO,"","","","","","","","","","",""
"",LA PARA ,1 86.452 ,354.605 ,541.057 ,239.240 ,402.255 ,641.494 ,238.453 ,413.971 ,652.424 ,1.834.976
"",LA PUERTA ,1 44.231 ,274.306 ,418.537 ,185.065 ,311.166 ,496.231 ,184.456 ,320.229 ,504.685 ,1.419.453
"",MONTE CRISTO ,363.865 ,692.019 ,1.055.884 ,466.881 ,785.008 ,1.251.889 ,465.345 ,807.873 ,1.273.218 ,3.580.990
"",OBISPO TREJO ,152.164 ,289.393 ,441.557 ,195.243 ,328.280 ,523.523 ,194.601 ,337.842 ,532.443 ,1.497.523
"",PIQUILLIN ,1 18.585 ,225.531 ,344.116 ,152.158 ,255.836 ,407.994 ,151.657 ,263.288 ,414.946 ,1.167.056
"",RIO PRIMERO ,286.306 ,544.512 ,830.819 ,367.364 ,617.680 ,985.044 ,366.155 ,635.672 ,1.001.827 ,2.817.689
"",SANTA ROSA DE RIO PRIMERO ,300.949 ,572.361 ,873.310 ,386.152 ,649.271 ,1.035.423 ,384.882 ,668.183 ,1.053.065 ,2.961.798
"",VILLA FONTANA ,105.847 ,201.306 ,307.154 ,135.814 ,228.356 ,364.171 ,135.367 ,235.008 ,370.375 ,1.041.699
Total RIO PRIMERO ,"",1.658.399 ,3.154.034 ,4.812.434 ,2.127.917 ,3.577.853 ,5.705.770 ,2.120.916 ,3.682.067 ,5.802.982 ,16.321.186
RIO SECO,"","","","","","","","","","",""
