"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
ATAHONA ,"",4.133 ,10.853 ,14.986 ,6.308 ,11.277 ,17.585 ,5.786 ,10.123 ,15.909 ,48.480
CAÑADA DE MACHADO ,"",4.088 ,10.735 ,14.823 ,6.239 ,11.154 ,17.393 ,5.723 ,10.013 ,15.736 ,47.952
CAPILLA DE LOS REMEDIOS ,"",8.818 ,23.156 ,31.974 ,13.458 ,24.060 ,37.518 ,12.345 ,21.599 ,33.944 ,103.436
CHALACEA ,"",4.101 ,10.769 ,14.870 ,6.259 ,11.189 ,17.448 ,5.741 ,10.045 ,15.785 ,48.103
COLONIA LAS CUATRO ESQUINAS ,"",3.657 ,9.603 ,13.259 ,5.581 ,9.978 ,15.558 ,5.119 ,8.957 ,14.076 ,42.894
COMECHINGONES ,"",5.021 ,13.185 ,18.206 ,7.663 ,13.700 ,21.363 ,7.029 ,12.299 ,19.328 ,58.898
DIEGO DE ROJAS ,"",6.199 ,16.278 ,22.477 ,9.461 ,16.913 ,26.374 ,8.678 ,15.183 ,23.861 ,72.712
EL CRISPIN ,"",3.953 ,10.380 ,14.333 ,6.033 ,10.785 ,16.818 ,5.534 ,9.682 ,15.216 ,46.367
ESQUINA ,"",4.751 ,12.475 ,17.226 ,7.251 ,12.963 ,20.213 ,6.651 ,11.637 ,18.287 ,55.727
KILOMETRO 658 ,"",4.944 ,12.982 ,17.926 ,7.545 ,13.489 ,21.035 ,6.921 ,12.109 ,19.031 ,57.992
LA POSTA ,"",4.378 ,11.495 ,15.873 ,6.681 ,11.944 ,18.625 ,6.128 ,10.722 ,16.851 ,51.349
LA QUINTA ,"",4.094 ,10.752 ,14.846 ,6.249 ,11.172 ,17.420 ,5.732 ,10.029 ,15.761 ,48.027
