TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
"",LEONES ,167.010 ,285.743 ,"",452.752 ,235.373 307.476 ,"",542.849 ,190.179 378.044 ,"",568.223 ,1.563.824
"",LOS SURGENTES ,73.277 ,125.372 ,"",198.649 ,103.272 134.908 ,"",238.179 ,83.442 165.870 ,"",249.313 ,686.141
"",MARCOS JUAREZ ,360.606 ,616.972 ,"",977.578 ,508.214 663.898 ,"",1.172.112 ,410.632 816.269 ,"",1.226.901 ,3.376.591
"",MONTE BUEY ,116.169 ,198.758 ,"",314.927 ,163.721 213.875 ,"",377.597 ,132.285 262.962 ,"",395.247 ,1.087.771
"",SAIRA ,47.478 ,81.231 ,"",128.709 ,66.912 87.409 ,"",154.321 ,54.064 107.471 ,"",161.535 ,444.565
Total MARCOS JUAREZ ,"",1.886.472 ,3.227.629 ,"",5.114.102 ,2.658.671 3.473.118 ,"",6.131.789 ,2.148.178 4.270.232 ,"",6.418.409 ,17.664.300
MINAS,"","","","","","","","","","","",""
"",SAN CARLOS MINAS ,58.882 ,100.743 ,"",159.624 ,82.984 108.405 ,"",191.389 ,67.050 133.285 ,"",200.335 ,551.349
TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
Total MINAS ,"",58.882 ,100.743 ,"",159.624 ,82.984 108.405 ,"",191.389 ,67.050 133.285 ,"",200.335 ,551.349
POCHO,"","","","","","","","","","","",""
"",SALSACATE ,65.945 ,112.827 ,"",178.771 ,92.938 121.408 ,"",214.346 ,75.093 149.273 ,"",224.366 ,617.483
Total POCHO ,"",65.945 ,112.827 ,"",178.771 ,92.938 121.408 ,"",214.346 ,75.093 149.273 ,"",224.366 ,617.483
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","","","",""
"",GENERAL LEVALLE ,110.462 ,188.993 ,"",299.455 ,155.678 203.368 ,"",359.045 ,125.786 250.042 ,"",375.828 ,1.034.329
"",LA CESIRA ,54.132 ,92.615 ,"",146.747 ,76.289 99.660 ,"",175.949 ,61.641 122.532 ,"",184.173 ,506.869
"",LABOULAYE ,297.723 ,509.385 ,"",807.108 ,419.592 548.127 ,"",967.719 ,339.025 673.928 ,"",1.012.953 ,2.787.780
"",MELO ,53.371 ,91.314 ,"",144.685 ,75.218 98.260 ,"",173.477 ,60.775 120.811 ,"",181.586 ,499.749
"",ROSALES ,44.572 ,76.260 ,"",120.832 ,62.817 82.060 ,"",144.877 ,50.756 100.894 ,"",151.649 ,417.359
"",SERRANO ,77.358 ,132.355 ,"",209.713 ,109.024 142.422 ,"",251.446 ,88.090 175.109 ,"",263.199 ,724.358
"",VILLA ROSSI ,43.722 ,74.806 ,"",118.528 ,61.619 80.496 ,"",142.115 ,49.788 98.970 ,"",148.758 ,409.401
Total PTE.ROQUE SAENZ PEÑA ,"",681.340 ,1.165.728 ,"",1.847.069 ,960.237 1.254.392 ,"",2.214.629 ,775.861 1.542.287 ,"",2.318.148 ,6.379.845
PUNILLA,"","","","","","","","","","","",""
"",BIALET MASSE ,100.613 ,172.143 ,"",272.756 ,141.798 185.236 ,"",327.033 ,114.571 227.749 ,"",342.320 ,942.110
"",CAPILLA DEL MONTE ,158.793 ,271.684 ,"",430.478 ,223.793 292.348 ,"",516.141 ,180.822 359.446 ,"",540.268 ,1.486.887
"",COSQUIN ,271.775 ,464.989 ,"",736.764 ,383.022 500.355 ,"",883.377 ,309.478 615.192 ,"",924.669 ,2.544.811
"",HUERTA GRANDE ,107.778 ,184.402 ,"",292.180 ,151.896 198.427 ,"",350.323 ,122.730 243.968 ,"",366.698 ,1.009.202
"",LA CUMBRE ,115.472 ,197.565 ,"",313.037 ,162.739 212.591 ,"",375.330 ,131.491 261.383 ,"",392.874 ,1.081.241
"",LA FALDA ,213.806 ,365.808 ,"",579.614 ,301.325 393.631 ,"",694.956 ,243.467 483.973 ,"",727.440 ,2.002.010
"",LOS COCOS ,50.537 ,86.465 ,"",137.002 ,71.224 93.042 ,"",164.265 ,57.548 114.396 ,"",171.944 ,473.211
"",SAN ANTONIO DE ARREDONDO ,77.991 ,133.437 ,"",211.428 ,109.915 143.586 ,"",253.501 ,88.810 176.540 ,"",265.351 ,730.280
"",SAN ESTEBAN ,47.136 ,80.646 ,"",127.782 ,66.430 86.780 ,"",153.210 ,53.675 106.697 ,"",160.372 ,441.365
"",SANTA MARIA ,136.346 ,233.280 ,"",369.626 ,192.158 251.023 ,"",443.181 ,155.261 308.635 ,"",463.896 ,1.276.703
"",TANTI ,106.195 ,181.693 ,"",287.889 ,149.665 195.513 ,"",345.177 ,120.928 240.385 ,"",361.312 ,994.378
"",VALLE HERMOSO ,107.321 ,183.619 ,"",290.940 ,151.251 197.585 ,"",348.836 ,122.209 242.933 ,"",365.142 ,1.004.919
"",VILLA CARLOS PAZ ,705.748 ,1.207.490 ,"",1.913.238 ,994.636 1.299.329 ,"",2.293.965 ,803.655 1.597.538 ,"",2.401.193 ,6.608.395
"",VILLA GIARDINO ,96.110 ,164.438 ,"",260.548 ,135.451 176.945 ,"",312.396 ,109.443 217.555 ,"",326.998 ,899.942
"",VILLA SANTA CRUZ DEL LAGO ,63.965 ,109.440 ,"",173.405 ,90.148 117.764 ,"",207.912 ,72.839 144.791 ,"",217.630 ,598.946
Total PUNILLA ,"",2.359.588 ,4.037.099 ,"",6.396.687 ,3.325.449 4.344.155 ,"",7.669.604 ,2.686.927 5.341.181 ,"",8.028.108 ,22.094.399
RIO CUARTO,"","","","","","","","","","","",""
"",ACHIRAS ,68.351 ,116.944 ,"",185.296 ,96.330 125.839 ,"",222.169 ,77.833 154.720 ,"",232.554 ,640.019
"",ADELIA MARIA ,127.252 ,217.720 ,"",344.971 ,179.340 234.279 ,"",413.619 ,144.905 288.048 ,"",432.953 ,1.191.544
"",ALCIRA ,109.324 ,187.047 ,"",296.371 ,154.074 201.273 ,"",355.348 ,124.491 247.467 ,"",371.958 ,1.023.676
