DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
BENGOLEA ,"","","1 04.126,8 ","251.386,2 ","3 55.512,9 "," 149.437,1 "," 212.366,2 ","3 61.803,2 "," 119.513,4  231.102,1 ","3 50.615,5"
CARNERILLO ,"","","1 33.080,8 "," 321.288,0 ","4 54.368,8 "," 190.990,4 "," 271.417,9 ","4 62.408,2 ","152.746,0 295.363,6 ","4 48.109,6"
CHARRAS ,"","","1 07.581,5 ","259.726,6 ","3 67.308,1 ","154.395,1 ","219.412,0 ","3 73.807,1 ","123.478,6 238.769,5 ","3 62.248,1"
GENERAL CABRERA ,"","","3 78.583,4 "," 913.988,3 "," 1.292.571,7 ","543.322,4 "," 772.119,5 "," 1.315.441,9 "," 434.526,2 840.239,4 ","1.274.765,6"
GENERAL DEHEZA ,"","","3 47.889,2 ","839.885,3 "," 1.187.774,4 "," 499.271,7 "," 709.519,7 "," 1.208.791,4 ","399.296,3  772.116,7 "," 1.171.413,0"
HUANCHILLAS ,"","","1 09.347,3 "," 263.989,8 ","3 73.337,1 ","156.929,3 ","223.013,5 ","3 79.942,8 ","125.505,4  242.688,7 ","3 68.194,2"
LA CARLOTA ,"","","4 12.705,7 ","996.367,4 ","1.409.073,1 "," 592.292,8 ","841.711,8 "," 1.434.004,6 "," 473.690,6 915.971,4 "," 1.389.662,1"
LOS CISNES ,"","","9 5.477,2 "," 230.504,1 ","3 25.981,3 ","137.023,7 "," 194.725,4 ","3 31.749,1 "," 109.585,7  211.904,9 ","3 21.490,7"
OLAETA ,"","","9 6.110,2 "," 232.032,5 ","3 28.142,7 "," 137.932,2 "," 196.016,5 ","3 33.948,7 ","110.312,3  213.310,0 ","3 23.622,3"
REDUCCION ,"","","1 21.767,6 "," 293.975,3 ","4 15.743,0 ","174.754,3 ","248.344,6 ","4 23.099,0 "," 139.761,1 270.254,7 ","4 10.015,8"
SANTA EUFEMIA ,"","","144.656,7 ","349.234,9 ","4 93.891,6 ","207.603,5 ","295.026,9 ","5 02.630,3 "," 166.032,4 321.055,5 ","4 87.087,9"
UCACHA ,"","","2 17.569,7 ","5 25.263,9 ","7 42.833,6 "," 312.244,3 "," 443.732,7 ","7 55.977,0 "," 249.719,7  482.880,8 ","7 32.600,6"
Total JUAREZ CELMAN ,"","2 .488.733,5 ","","6.008.380,6 ","8.497.114,1 ","3.571.695,4 ","5.075.764,1 ","8.647.459,5 ","2.856.490,2 5.523.571,0 ","8.380.061,2"
MARCOS JUAREZ,"","","","","","","","","",""
ALEJO LEDESMA ,"","","1 67.095,4 ","4 03.407,2 ","5 70.502,6 "," 239.806,3 "," 340.790,6 ","5 80.596,9 "," 191.786,9  370.856,7 ","5 62.643,6"
ARIAS ,"","","2 68.857,8 ","649.085,3 ","9 17.943,1 "," 385.850,2 "," 548.334,6 ","9 34.184,8 "," 308.586,6  596.711,2 ","9 05.297,8"
CAMILO ALDAO ,"","","2 13.805,9 "," 516.177,2 ","7 29.983,1 "," 306.842,7 "," 436.056,4 ","7 42.899,1 ","245.399,7  474.527,3 ","7 19.927,0"
CAP. GRAL. B. O'HIGGINS ,"",""," 91.774,6 "," 221.565,2 ","3 13.339,8 ","131.709,9 "," 187.174,0 ","3 18.883,9 ","105.336,0 203.687,3 ","3 09.023,3"
CAVANAGH ,"","","1 12.483,0 ","271.560,1 ","3 84.043,1 ","161.429,5 "," 229.408,7 ","3 90.838,2 "," 129.104,5 249.648,2 ","3 78.752,7"
COLONIA ITALIANA ,"","","1 00.011,3 ","241.450,6 ","3 41.462,0 ","143.530,9 "," 203.972,8 ","3 47.503,7 ","114.789,9 221.968,2 ","3 36.758,1"
CORRAL DE BUSTOS ,"","","3 47.174,1 ","838.159,0 ","1.185.333,1 ","498.245,5 ","708.060,4 "," 1.206.305,9 ","398.475,6  770.528,7 ","1.169.004,3"
CRUZ ALTA ,"","","2 63.487,2 ","636.119,2 ","8 99.606,4 ","378.142,5 "," 537.381,1 ","9 15.523,6 ","302.422,3  584.791,3 ","8 87.213,6"
GENERAL BALDISSERA ,"","","1 41.015,4 "," 340.443,8 ","4 81.459,2 ","202.377,6 ","287.600,3 ","4 89.977,9 "," 161.853,0 312.973,7 ","4 74.826,7"
GENERAL ROCA ,"","","1 49.149,4 ","360.081,3 ","5 09.230,7 "," 214.051,1 "," 304.189,7 ","5 18.240,8 ","171.189,0 331.026,7 ","5 02.215,7"
GUATIMOZIN ,"","","1 47.006,3 "," 354.907,3 ","5 01.913,5 "," 210.975,4 "," 299.818,7 ","5 10.794,2 ","168.729,2  326.270,1 ","4 94.999,3"
INRIVILLE ,"","","1 82.975,4 "," 441.745,1 ","6 24.720,5 "," 262.596,4 ","373.177,6 ","6 35.774,0 "," 210.013,4  406.101,1 ","6 16.114,5"
