"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",SANTA MARIA ,72.688 ,190.875 ,263.563 ,110.935 ,198.327 ,309.262 ,101.758 ,178.039 ,279.798 ,852.622
"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
"",TANTI ,56.614 ,148.666 ,205.279 ,86.403 ,154.470 ,240.873 ,79.256 ,138.668 ,217.924 ,664.077
"",VALLE HERMOSO ,57.214 ,150.241 ,207.455 ,87.319 ,156.107 ,243.426 ,80.096 ,140.138 ,220.234 ,671.116
"",VILLA CARLOS PAZ ,376.242 ,987.994 ,1.364.236 ,574.215 ,1.026.568 ,1.600.783 ,526.715 ,921.556 ,1.448.271 ,4.413.291
"",VILLA GIARDINO ,51.237 ,134.547 ,185.784 ,78.198 ,139.800 ,217.997 ,71.729 ,125.499 ,197.228 ,601.009
"",VILLA SANTA CRUZ DEL LAGO ,34.100 ,89.546 ,123.646 ,52.044 ,93.042 ,145.086 ,47.738 ,83.524 ,131.263 ,399.995
Total PUNILLA ,"",1.257.921 ,3.303.245 ,4.561.166 ,1.919.822 ,3.432.211 ,5.352.033 ,1.761.012 ,3.081.116 ,4.842.127 ,14.755.326
RIO CUARTO,"","","","","","","","","","",""
"",ACHIRAS ,36.439 ,95.687 ,132.125 ,55.612 ,99.422 ,155.035 ,51.012 ,89.252 ,140.264 ,427.424
"",ADELIA MARIA ,67.839 ,178.143 ,245.982 ,103.535 ,185.098 ,288.634 ,94.971 ,166.164 ,261.134 ,795.750
"",ALCIRA ,58.282 ,153.046 ,211.328 ,88.949 ,159.021 ,247.970 ,81.591 ,142.754 ,224.345 ,683.643
"",ALPA CORRAL ,25.729 ,67.563 ,93.291 ,39.267 ,70.200 ,109.467 ,36.019 ,63.019 ,99.038 ,301.797
"",BERROTARAN ,63.848 ,167.663 ,231.511 ,97.444 ,174.209 ,271.653 ,89.384 ,156.388 ,245.772 ,748.937
"",BULNES ,27.090 ,71.136 ,98.226 ,41.344 ,73.913 ,115.257 ,37.924 ,66.353 ,104.276 ,317.759
"",CHAJAN ,24.909 ,65.409 ,90.318 ,38.015 ,67.963 ,105.978 ,34.871 ,61.010 ,95.881 ,292.176
"",CORONEL BAIGORRIA ,30.104 ,79.052 ,109.156 ,45.944 ,82.138 ,128.083 ,42.144 ,73.736 ,115.880 ,353.118
"",CORONEL MOLDES ,78.712 ,206.695 ,285.407 ,120.129 ,214.764 ,334.894 ,110.192 ,192.795 ,302.987 ,923.288
"",ELENA ,39.557 ,103.876 ,143.433 ,60.372 ,107.931 ,168.303 ,55.378 ,96.891 ,152.268 ,464.004
"",LA CAUTIVA ,25.449 ,66.827 ,92.276 ,38.840 ,69.437 ,108.276 ,35.627 ,62.334 ,97.960 ,298.513
"",LAS ACEQUIAS ,34.564 ,90.763 ,125.327 ,52.751 ,94.306 ,147.057 ,48.387 ,84.659 ,133.047 ,405.430
"",LAS HIGUERAS ,59.304 ,155.729 ,215.033 ,90.509 ,161.809 ,252.318 ,83.022 ,145.257 ,228.279 ,695.631
"",LAS VERTIENTES ,25.436 ,66.793 ,92.229 ,38.820 ,69.401 ,108.221 ,35.609 ,62.302 ,97.910 ,298.360
"",MONTE DE LOS GAUCHOS ,24.889 ,65.357 ,90.246 ,37.985 ,67.909 ,105.894 ,34.843 ,60.962 ,95.805 ,291.946
"",RIO CUARTO ,1.035.139 ,2.718.229 ,3.753.368 ,1.579.815 ,2.824.355 ,4.404.170 ,1.449.131 ,2.535.440 ,3.984.570 ,12.142.109
"",SAMPACHO ,71.166 ,186.880 ,258.046 ,108.613 ,194.176 ,302.789 ,99.628 ,174.313 ,273.941 ,834.776
"",SAN BASILIO ,41.530 ,109.056 ,150.586 ,63.383 ,113.314 ,176.697 ,58.140 ,101.723 ,159.862 ,487.145
"",SANTA CATALINA ,44.492 ,116.835 ,161.328 ,67.904 ,121.397 ,189.300 ,62.287 ,108.978 ,171.265 ,521.893
"",TOSQUITA ,23.073 ,60.588 ,83.660 ,35.213 ,62.953 ,98.166 ,32.300 ,56.513 ,88.814 ,270.640
"",VICUÑA MACKENNA ,87.853 ,230.698 ,318.551 ,134.080 ,239.705 ,373.785 ,122.989 ,215.185 ,338.174 ,1.030.510
Total RIO CUARTO ,"",1.925.404 ,5.056.024 ,6.981.428 ,2.938.524 ,5.253.423 ,8.191.948 ,2.695.446 ,4.716.028 ,7.411.474 ,22.584.849
RIO PRIMERO,"","","","","","","","","","",""
"",LA PARA ,46.356 ,121.730 ,168.086 ,70.749 ,126.482 ,197.231 ,64.896 ,113.544 ,178.440 ,543.757
"",LA PUERTA ,35.896 ,94.262 ,130.158 ,54.784 ,97.942 ,152.726 ,50.252 ,87.923 ,138.175 ,421.059
"",MONTE CRISTO ,90.746 ,238.294 ,329.040 ,138.495 ,247.598 ,386.093 ,127.038 ,222.270 ,349.308 ,1.064.441
"",OBISPO TREJO ,37.950 ,99.655 ,137.606 ,57.919 ,103.546 ,161.465 ,53.128 ,92.954 ,146.082 ,445.153
"",PIQUILLIN ,29.459 ,77.359 ,106.818 ,44.960 ,80.379 ,125.339 ,41.241 ,72.156 ,113.398 ,345.554
"",RIO PRIMERO ,71.173 ,186.898 ,258.071 ,108.624 ,194.195 ,302.818 ,99.638 ,174.330 ,273.968 ,834.856
"",SANTA ROSA DE RIO PRIMERO ,74.766 ,196.332 ,271.098 ,114.107 ,203.997 ,318.104 ,104.668 ,183.129 ,287.797 ,876.998
"",VILLA FONTANA ,26.389 ,69.296 ,95.685 ,40.274 ,72.001 ,112.276 ,36.943 ,64.636 ,101.579 ,309.539
Total RIO PRIMERO ,"",412.735 ,1.083.825 ,1.496.560 ,629.911 ,1.126.140 ,1.756.051 ,577.804 ,1.010.942 ,1.588.746 ,4.841.357
RIO SECO,"","","","","","","","","","",""
"",SEBASTIAN EL CANO ,37.412 ,98.242 ,135.654 ,57.098 ,102.078 ,159.175 ,52.374 ,91.636 ,144.010 ,438.839
